2021-03-26_19-47-12_EXACT_IFTY0_wrn-28-10-drop_HRZ0_RND1_NAS0_Eps1
119: acc=62.10% acc_corr=64.71% avg#q_ae=48.73 med#q=120.0, avg_margin=4.05, buff=19194, (n_ex=9597, eps=1.000, 720.47s)
120: acc=61.95% acc_corr=64.55% avg#q_ae=49.06 med#q=121.0, avg_margin=4.03, buff=19194, (n_ex=9597, eps=1.000, 725.38s)
121: acc=61.78% acc_corr=64.37% avg#q_ae=49.42 med#q=122.0, avg_margin=4.02, buff=19194, (n_ex=9597, eps=1.000, 730.28s)
122: acc=61.57% acc_corr=64.16% avg#q_ae=49.88 med#q=123.0, avg_margin=4.00, buff=19194, (n_ex=9597, eps=1.000, 735.19s)
123: acc=61.48% acc_corr=64.06% avg#q_ae=50.08 med#q=124.0, avg_margin=3.99, buff=19194, (n_ex=9597, eps=1.000, 740.16s)
124: acc=61.36% acc_corr=63.94% avg#q_ae=50.34 med#q=125.0, avg_margin=3.98, buff=19194, (n_ex=9597, eps=1.000, 745.13s)
125: acc=61.16% acc_corr=63.73% avg#q_ae=50.78 med#q=126.0, avg_margin=3.96, buff=19194, (n_ex=9597, eps=1.000, 750.07s)
126: acc=61.09% acc_corr=63.66% avg#q_ae=50.93 med#q=127.0, avg_margin=3.95, buff=19194, (n_ex=9597, eps=1.000, 755.02s)
127: acc=61.04% acc_corr=63.60% avg#q_ae=51.05 med#q=128.0, avg_margin=3.94, buff=19194, (n_ex=9597, eps=1.000, 759.96s)
128: acc=60.89% acc_corr=63.45% avg#q_ae=51.38 med#q=129.0, avg_margin=3.93, buff=19194, (n_ex=9597, eps=1.000, 764.85s)
129: acc=60.79% acc_corr=63.34% avg#q_ae=51.61 med#q=130.0, avg_margin=3.92, buff=19194, (n_ex=9597, eps=1.000, 769.74s)
130: acc=60.73% acc_corr=63.28% avg#q_ae=51.75 med#q=131.0, avg_margin=3.91, buff=19194, (n_ex=9597, eps=1.000, 774.58s)
131: acc=60.61% acc_corr=63.16% avg#q_ae=52.02 med#q=132.0, avg_margin=3.89, buff=19194, (n_ex=9597, eps=1.000, 779.43s)
132: acc=60.39% acc_corr=62.93% avg#q_ae=52.53 med#q=133.0, avg_margin=3.88, buff=19194, (n_ex=9597, eps=1.000, 784.25s)
133: acc=60.28% acc_corr=62.81% avg#q_ae=52.78 med#q=134.0, avg_margin=3.87, buff=19194, (n_ex=9597, eps=1.000, 789.09s)
