2021-05-05_00-03-05_EXACT_IFTY1_resnet_preact_HRZ0_RND1__Eps76
160: acc=2.89% acc_corr=2.90% avg#q_ae=6.65 med#q=1.0, avg_margin=-10.93, buff=19918, n_ex=9959, eps=76.500, 19.15s
161: acc=2.87% acc_corr=2.88% avg#q_ae=6.69 med#q=1.0, avg_margin=-10.93, buff=19918, n_ex=9959, eps=76.500, 19.20s
162: acc=2.87% acc_corr=2.88% avg#q_ae=6.69 med#q=1.0, avg_margin=-10.93, buff=19918, n_ex=9959, eps=76.500, 19.25s
163: acc=2.87% acc_corr=2.88% avg#q_ae=6.69 med#q=1.0, avg_margin=-10.93, buff=19918, n_ex=9959, eps=76.500, 19.30s
164: acc=2.84% acc_corr=2.85% avg#q_ae=6.74 med#q=1.0, avg_margin=-10.93, buff=19918, n_ex=9959, eps=76.500, 19.35s
165: acc=2.82% acc_corr=2.83% avg#q_ae=6.77 med#q=1.0, avg_margin=-10.93, buff=19918, n_ex=9959, eps=76.500, 19.40s
166: acc=2.81% acc_corr=2.82% avg#q_ae=6.79 med#q=1.0, avg_margin=-10.93, buff=19918, n_ex=9959, eps=76.500, 19.45s
167: acc=2.81% acc_corr=2.82% avg#q_ae=6.79 med#q=1.0, avg_margin=-10.93, buff=19918, n_ex=9959, eps=76.500, 19.50s
168: acc=2.81% acc_corr=2.82% avg#q_ae=6.79 med#q=1.0, avg_margin=-10.93, buff=19918, n_ex=9959, eps=76.500, 19.56s
169: acc=2.81% acc_corr=2.82% avg#q_ae=6.79 med#q=1.0, avg_margin=-10.93, buff=19918, n_ex=9959, eps=76.500, 19.61s
170: acc=2.80% acc_corr=2.81% avg#q_ae=6.80 med#q=1.0, avg_margin=-10.93, buff=19918, n_ex=9959, eps=76.500, 19.66s
171: acc=2.78% acc_corr=2.79% avg#q_ae=6.84 med#q=1.0, avg_margin=-10.93, buff=19918, n_ex=9959, eps=76.500, 19.71s
172: acc=2.76% acc_corr=2.77% avg#q_ae=6.87 med#q=1.0, avg_margin=-10.93, buff=19918, n_ex=9959, eps=76.500, 19.77s
173: acc=2.71% acc_corr=2.72% avg#q_ae=6.96 med#q=1.0, avg_margin=-10.94, buff=19918, n_ex=9959, eps=76.500, 19.82s
174: acc=2.69% acc_corr=2.70% avg#q_ae=6.99 med#q=1.0, avg_margin=-10.94, buff=19918, n_ex=9959, eps=76.500, 19.87s
175: acc=2.68% acc_corr=2.69% avg#q_ae=7.01 med#q=1.0, avg_margin=-10.94, buff=19918, n_ex=9959, eps=76.500, 19.92s
176: acc=2.68% acc_corr=2.69% avg#q_ae=7.01 med#q=1.0, avg_margin=-10.94, buff=19918, n_ex=9959, eps=76.500, 19.97s
177: acc=2.65% acc_corr=2.66% avg#q_ae=7.06 med#q=1.0, avg_margin=-10.94, buff=19918, n_ex=9959, eps=76.500, 20.02s
