2021-05-08_02-19-18_MIDA_IFTY0_easydlmnist_HRZ0_RND1__Eps3
117: acc=3.03% acc_corr=3.08% avg#q_ae=27.25 med#q=19.0, avg_margin=-0.24, buff=19670, n_ex=9835, eps=3.000, 36108.59s
118: acc=2.96% acc_corr=3.01% avg#q_ae=27.31 med#q=19.0, avg_margin=-0.24, buff=19670, n_ex=9835, eps=3.000, 36147.80s
119: acc=2.95% acc_corr=3.00% avg#q_ae=27.32 med#q=19.0, avg_margin=-0.24, buff=19670, n_ex=9835, eps=3.000, 36179.13s
120: acc=2.90% acc_corr=2.95% avg#q_ae=27.37 med#q=19.0, avg_margin=-0.24, buff=19670, n_ex=9835, eps=3.000, 36214.45s
121: acc=2.87% acc_corr=2.92% avg#q_ae=27.40 med#q=19.0, avg_margin=-0.24, buff=19670, n_ex=9835, eps=3.000, 36249.13s
122: acc=2.72% acc_corr=2.77% avg#q_ae=27.56 med#q=19.0, avg_margin=-0.24, buff=19670, n_ex=9835, eps=3.000, 36284.34s
123: acc=2.61% acc_corr=2.65% avg#q_ae=27.67 med#q=19.0, avg_margin=-0.24, buff=19670, n_ex=9835, eps=3.000, 36317.74s
124: acc=2.57% acc_corr=2.61% avg#q_ae=27.71 med#q=19.0, avg_margin=-0.24, buff=19670, n_ex=9835, eps=3.000, 36349.14s
125: acc=2.51% acc_corr=2.55% avg#q_ae=27.77 med#q=19.0, avg_margin=-0.24, buff=19670, n_ex=9835, eps=3.000, 36380.61s
126: acc=2.44% acc_corr=2.48% avg#q_ae=27.84 med#q=19.0, avg_margin=-0.24, buff=19670, n_ex=9835, eps=3.000, 36411.11s
127: acc=2.43% acc_corr=2.47% avg#q_ae=27.85 med#q=19.0, avg_margin=-0.24, buff=19670, n_ex=9835, eps=3.000, 36440.24s
128: acc=2.41% acc_corr=2.45% avg#q_ae=27.88 med#q=19.0, avg_margin=-0.24, buff=19670, n_ex=9835, eps=3.000, 36467.72s
129: acc=2.38% acc_corr=2.42% avg#q_ae=27.91 med#q=19.0, avg_margin=-0.24, buff=19670, n_ex=9835, eps=3.000, 36492.79s
130: acc=2.34% acc_corr=2.38% avg#q_ae=27.95 med#q=19.0, avg_margin=-0.24, buff=19670, n_ex=9835, eps=3.000, 36517.68s
131: acc=2.31% acc_corr=2.35% avg#q_ae=27.98 med#q=19.0, avg_margin=-0.24, buff=19670, n_ex=9835, eps=3.000, 36548.51s
132: acc=2.24% acc_corr=2.28% avg#q_ae=28.06 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 36575.08s
133: acc=2.19% acc_corr=2.23% avg#q_ae=28.12 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 36601.79s
134: acc=2.15% acc_corr=2.19% avg#q_ae=28.16 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 36628.30s
135: acc=2.14% acc_corr=2.18% avg#q_ae=28.17 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 36653.16s
136: acc=2.11% acc_corr=2.15% avg#q_ae=28.21 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 36808.73s
137: acc=2.06% acc_corr=2.09% avg#q_ae=28.27 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 36832.73s
138: acc=2.03% acc_corr=2.06% avg#q_ae=28.30 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 36855.77s
139: acc=2.01% acc_corr=2.04% avg#q_ae=28.32 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 36877.03s
140: acc=1.94% acc_corr=1.97% avg#q_ae=28.41 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 36903.01s
141: acc=1.90% acc_corr=1.93% avg#q_ae=28.45 med#q=19.0, avg_margin=-0.25, buff=19670, n_ex=9835, eps=3.000, 36929.06s
