2021-05-05_00-17-17_EXACT_IFTY0_densenet_HRZ0_RND1__Eps3
144: acc=22.43% acc_corr=22.55% avg#q_ae=51.35 med#q=53.0, avg_margin=0.09, buff=19892, n_ex=9946, eps=3.000, 568.83s
145: acc=22.27% acc_corr=22.39% avg#q_ae=51.55 med#q=53.0, avg_margin=0.08, buff=19892, n_ex=9946, eps=3.000, 569.05s
146: acc=22.24% acc_corr=22.36% avg#q_ae=51.59 med#q=53.0, avg_margin=0.08, buff=19892, n_ex=9946, eps=3.000, 569.27s
147: acc=22.03% acc_corr=22.15% avg#q_ae=51.85 med#q=53.0, avg_margin=0.07, buff=19892, n_ex=9946, eps=3.000, 569.48s
148: acc=21.92% acc_corr=22.04% avg#q_ae=51.99 med#q=53.0, avg_margin=0.07, buff=19892, n_ex=9946, eps=3.000, 569.69s
149: acc=21.79% acc_corr=21.91% avg#q_ae=52.15 med#q=53.0, avg_margin=0.06, buff=19892, n_ex=9946, eps=3.000, 569.90s
150: acc=21.48% acc_corr=21.60% avg#q_ae=52.55 med#q=53.0, avg_margin=0.05, buff=19892, n_ex=9946, eps=3.000, 570.11s
151: acc=21.32% acc_corr=21.44% avg#q_ae=52.76 med#q=53.0, avg_margin=0.05, buff=19892, n_ex=9946, eps=3.000, 570.32s
152: acc=21.25% acc_corr=21.37% avg#q_ae=52.85 med#q=53.0, avg_margin=0.04, buff=19892, n_ex=9946, eps=3.000, 570.52s
153: acc=21.09% acc_corr=21.20% avg#q_ae=53.06 med#q=53.0, avg_margin=0.04, buff=19892, n_ex=9946, eps=3.000, 570.73s
154: acc=20.89% acc_corr=21.00% avg#q_ae=53.32 med#q=53.0, avg_margin=0.03, buff=19892, n_ex=9946, eps=3.000, 570.93s
155: acc=20.68% acc_corr=20.79% avg#q_ae=53.59 med#q=53.0, avg_margin=0.02, buff=19892, n_ex=9946, eps=3.000, 571.13s
156: acc=20.46% acc_corr=20.57% avg#q_ae=53.89 med#q=53.0, avg_margin=0.01, buff=19892, n_ex=9946, eps=3.000, 571.33s
157: acc=20.31% acc_corr=20.42% avg#q_ae=54.08 med#q=53.0, avg_margin=0.00, buff=19892, n_ex=9946, eps=3.000, 571.52s
158: acc=20.20% acc_corr=20.31% avg#q_ae=54.23 med#q=53.0, avg_margin=-0.00, buff=19892, n_ex=9946, eps=3.000, 571.72s
159: acc=20.14% acc_corr=20.25% avg#q_ae=54.31 med#q=53.0, avg_margin=-0.00, buff=19892, n_ex=9946, eps=3.000, 571.91s
160: acc=20.09% acc_corr=20.20% avg#q_ae=54.38 med#q=53.0, avg_margin=-0.01, buff=19892, n_ex=9946, eps=3.000, 572.11s
161: acc=20.00% acc_corr=20.11% avg#q_ae=54.50 med#q=53.0, avg_margin=-0.01, buff=19892, n_ex=9946, eps=3.000, 572.30s
162: acc=19.72% acc_corr=19.83% avg#q_ae=54.89 med#q=53.0, avg_margin=-0.02, buff=19892, n_ex=9946, eps=3.000, 572.50s
163: acc=19.58% acc_corr=19.69% avg#q_ae=55.08 med#q=53.0, avg_margin=-0.02, buff=19892, n_ex=9946, eps=3.000, 572.68s
164: acc=19.34% acc_corr=19.45% avg#q_ae=55.41 med#q=53.0, avg_margin=-0.03, buff=19892, n_ex=9946, eps=3.000, 572.87s
165: acc=19.24% acc_corr=19.34% avg#q_ae=55.55 med#q=53.0, avg_margin=-0.04, buff=19892, n_ex=9946, eps=3.000, 573.05s
166: acc=19.16% acc_corr=19.26% avg#q_ae=55.66 med#q=53.0, avg_margin=-0.04, buff=19892, n_ex=9946, eps=3.000, 573.24s
167: acc=19.11% acc_corr=19.21% avg#q_ae=55.73 med#q=53.0, avg_margin=-0.04, buff=19892, n_ex=9946, eps=3.000, 573.42s
168: acc=18.92% acc_corr=19.02% avg#q_ae=56.00 med#q=53.0, avg_margin=-0.05, buff=19892, n_ex=9946, eps=3.000, 573.60s
169: acc=18.82% acc_corr=18.92% avg#q_ae=56.15 med#q=53.0, avg_margin=-0.05, buff=19892, n_ex=9946, eps=3.000, 573.78s
170: acc=18.56% acc_corr=18.66% avg#q_ae=56.52 med#q=53.0, avg_margin=-0.06, buff=19892, n_ex=9946, eps=3.000, 573.97s
171: acc=18.38% acc_corr=18.48% avg#q_ae=56.78 med#q=53.0, avg_margin=-0.07, buff=19892, n_ex=9946, eps=3.000, 576.10s
172: acc=18.20% acc_corr=18.30% avg#q_ae=57.04 med#q=53.0, avg_margin=-0.07, buff=19892, n_ex=9946, eps=3.000, 576.28s
173: acc=18.09% acc_corr=18.19% avg#q_ae=57.20 med#q=53.0, avg_margin=-0.07, buff=19892, n_ex=9946, eps=3.000, 576.45s
174: acc=17.99% acc_corr=18.09% avg#q_ae=57.34 med#q=53.0, avg_margin=-0.08, buff=19892, n_ex=9946, eps=3.000, 576.63s
175: acc=17.85% acc_corr=17.95% avg#q_ae=57.55 med#q=53.0, avg_margin=-0.08, buff=19892, n_ex=9946, eps=3.000, 576.80s
176: acc=17.82% acc_corr=17.92% avg#q_ae=57.59 med#q=53.0, avg_margin=-0.08, buff=19892, n_ex=9946, eps=3.000, 576.97s
177: acc=17.82% acc_corr=17.92% avg#q_ae=57.59 med#q=53.0, avg_margin=-0.09, buff=19892, n_ex=9946, eps=3.000, 577.14s
178: acc=17.66% acc_corr=17.76% avg#q_ae=57.83 med#q=53.0, avg_margin=-0.09, buff=19892, n_ex=9946, eps=3.000, 577.31s
179: acc=17.59% acc_corr=17.69% avg#q_ae=57.94 med#q=53.0, avg_margin=-0.09, buff=19892, n_ex=9946, eps=3.000, 577.48s
180: acc=17.45% acc_corr=17.54% avg#q_ae=58.15 med#q=53.0, avg_margin=-0.10, buff=19892, n_ex=9946, eps=3.000, 577.64s
181: acc=17.31% acc_corr=17.40% avg#q_ae=58.36 med#q=53.0, avg_margin=-0.10, buff=19892, n_ex=9946, eps=3.000, 577.81s
