2021-05-05_00-12-41_EXACT_IFTY1_densenet_HRZ0_RND1__Eps76
131: acc=7.38% acc_corr=7.42% avg#q_ae=30.71 med#q=22.0, avg_margin=-0.53, buff=19892, n_ex=9946, eps=76.500, 96.02s
132: acc=7.32% acc_corr=7.36% avg#q_ae=30.77 med#q=22.0, avg_margin=-0.53, buff=19892, n_ex=9946, eps=76.500, 96.11s
133: acc=7.23% acc_corr=7.27% avg#q_ae=30.88 med#q=22.0, avg_margin=-0.54, buff=19892, n_ex=9946, eps=76.500, 96.19s
134: acc=7.12% acc_corr=7.16% avg#q_ae=31.00 med#q=22.0, avg_margin=-0.54, buff=19892, n_ex=9946, eps=76.500, 96.27s
135: acc=7.01% acc_corr=7.05% avg#q_ae=31.13 med#q=22.0, avg_margin=-0.55, buff=19892, n_ex=9946, eps=76.500, 96.35s
136: acc=6.89% acc_corr=6.93% avg#q_ae=31.27 med#q=22.0, avg_margin=-0.55, buff=19892, n_ex=9946, eps=76.500, 96.44s
137: acc=6.83% acc_corr=6.87% avg#q_ae=31.34 med#q=22.0, avg_margin=-0.56, buff=19892, n_ex=9946, eps=76.500, 96.53s
138: acc=6.79% acc_corr=6.83% avg#q_ae=31.38 med#q=22.0, avg_margin=-0.56, buff=19892, n_ex=9946, eps=76.500, 96.61s
139: acc=6.67% acc_corr=6.71% avg#q_ae=31.52 med#q=22.0, avg_margin=-0.56, buff=19892, n_ex=9946, eps=76.500, 96.70s
140: acc=6.57% acc_corr=6.61% avg#q_ae=31.64 med#q=22.0, avg_margin=-0.57, buff=19892, n_ex=9946, eps=76.500, 96.80s
141: acc=6.50% acc_corr=6.54% avg#q_ae=31.73 med#q=22.0, avg_margin=-0.57, buff=19892, n_ex=9946, eps=76.500, 96.87s
142: acc=6.39% acc_corr=6.42% avg#q_ae=31.86 med#q=22.0, avg_margin=-0.58, buff=19892, n_ex=9946, eps=76.500, 96.96s
143: acc=6.28% acc_corr=6.31% avg#q_ae=31.99 med#q=22.0, avg_margin=-0.58, buff=19892, n_ex=9946, eps=76.500, 97.04s
144: acc=6.24% acc_corr=6.27% avg#q_ae=32.04 med#q=22.0, avg_margin=-0.58, buff=19892, n_ex=9946, eps=76.500, 97.11s
145: acc=6.17% acc_corr=6.20% avg#q_ae=32.13 med#q=22.0, avg_margin=-0.59, buff=19892, n_ex=9946, eps=76.500, 97.18s
146: acc=6.03% acc_corr=6.06% avg#q_ae=32.30 med#q=22.0, avg_margin=-0.59, buff=19892, n_ex=9946, eps=76.500, 97.26s
147: acc=5.99% acc_corr=6.02% avg#q_ae=32.35 med#q=22.0, avg_margin=-0.60, buff=19892, n_ex=9946, eps=76.500, 97.33s
148: acc=5.91% acc_corr=5.94% avg#q_ae=32.45 med#q=22.0, avg_margin=-0.60, buff=19892, n_ex=9946, eps=76.500, 97.40s
149: acc=5.80% acc_corr=5.83% avg#q_ae=32.59 med#q=22.0, avg_margin=-0.61, buff=19892, n_ex=9946, eps=76.500, 97.47s
150: acc=5.71% acc_corr=5.74% avg#q_ae=32.71 med#q=22.0, avg_margin=-0.61, buff=19892, n_ex=9946, eps=76.500, 97.54s
151: acc=5.65% acc_corr=5.68% avg#q_ae=32.78 med#q=22.0, avg_margin=-0.61, buff=19892, n_ex=9946, eps=76.500, 97.60s
152: acc=5.54% acc_corr=5.57% avg#q_ae=32.93 med#q=22.0, avg_margin=-0.62, buff=19892, n_ex=9946, eps=76.500, 97.67s
153: acc=5.48% acc_corr=5.51% avg#q_ae=33.00 med#q=22.0, avg_margin=-0.62, buff=19892, n_ex=9946, eps=76.500, 97.74s
154: acc=5.41% acc_corr=5.44% avg#q_ae=33.10 med#q=22.0, avg_margin=-0.63, buff=19892, n_ex=9946, eps=76.500, 97.80s
155: acc=5.38% acc_corr=5.41% avg#q_ae=33.13 med#q=22.0, avg_margin=-0.63, buff=19892, n_ex=9946, eps=76.500, 97.87s
156: acc=5.33% acc_corr=5.36% avg#q_ae=33.20 med#q=22.0, avg_margin=-0.63, buff=19892, n_ex=9946, eps=76.500, 97.94s
157: acc=5.20% acc_corr=5.23% avg#q_ae=33.37 med#q=22.0, avg_margin=-0.64, buff=19892, n_ex=9946, eps=76.500, 98.00s
158: acc=5.10% acc_corr=5.13% avg#q_ae=33.51 med#q=22.0, avg_margin=-0.64, buff=19892, n_ex=9946, eps=76.500, 98.07s
159: acc=5.04% acc_corr=5.07% avg#q_ae=33.59 med#q=22.0, avg_margin=-0.64, buff=19892, n_ex=9946, eps=76.500, 98.13s
160: acc=5.02% acc_corr=5.05% avg#q_ae=33.62 med#q=22.0, avg_margin=-0.64, buff=19892, n_ex=9946, eps=76.500, 98.19s
161: acc=4.99% acc_corr=5.02% avg#q_ae=33.66 med#q=22.0, avg_margin=-0.65, buff=19892, n_ex=9946, eps=76.500, 98.25s
162: acc=4.93% acc_corr=4.96% avg#q_ae=33.74 med#q=22.0, avg_margin=-0.65, buff=19892, n_ex=9946, eps=76.500, 98.31s
163: acc=4.90% acc_corr=4.93% avg#q_ae=33.78 med#q=22.0, avg_margin=-0.65, buff=19892, n_ex=9946, eps=76.500, 98.37s
164: acc=4.88% acc_corr=4.91% avg#q_ae=33.81 med#q=22.0, avg_margin=-0.65, buff=19892, n_ex=9946, eps=76.500, 98.43s
165: acc=4.86% acc_corr=4.89% avg#q_ae=33.84 med#q=22.0, avg_margin=-0.65, buff=19892, n_ex=9946, eps=76.500, 98.50s
166: acc=4.82% acc_corr=4.85% avg#q_ae=33.90 med#q=22.0, avg_margin=-0.65, buff=19892, n_ex=9946, eps=76.500, 98.56s
167: acc=4.78% acc_corr=4.81% avg#q_ae=33.95 med#q=22.0, avg_margin=-0.66, buff=19892, n_ex=9946, eps=76.500, 98.61s
168: acc=4.71% acc_corr=4.74% avg#q_ae=34.05 med#q=22.0, avg_margin=-0.66, buff=19892, n_ex=9946, eps=76.500, 98.67s
169: acc=4.67% acc_corr=4.70% avg#q_ae=34.11 med#q=22.0, avg_margin=-0.66, buff=19892, n_ex=9946, eps=76.500, 98.73s
170: acc=4.62% acc_corr=4.65% avg#q_ae=34.18 med#q=22.0, avg_margin=-0.66, buff=19892, n_ex=9946, eps=76.500, 98.79s
171: acc=4.60% acc_corr=4.62% avg#q_ae=34.21 med#q=22.0, avg_margin=-0.66, buff=19892, n_ex=9946, eps=76.500, 98.84s
172: acc=4.59% acc_corr=4.61% avg#q_ae=34.23 med#q=22.0, avg_margin=-0.66, buff=19892, n_ex=9946, eps=76.500, 98.90s
173: acc=4.56% acc_corr=4.58% avg#q_ae=34.27 med#q=22.0, avg_margin=-0.67, buff=19892, n_ex=9946, eps=76.500, 98.95s
174: acc=4.53% acc_corr=4.55% avg#q_ae=34.32 med#q=22.0, avg_margin=-0.67, buff=19892, n_ex=9946, eps=76.500, 99.01s
